timestamp_ms,gps_velocity_kmh,video_velocity_kmh
1719434376818,10.37,15.4
1719434396414,10.51,11.4
1719434429522,10.08,12.6
1719434441732,7.52,11.8
1719434464310,7.96,11.8
1719434482462,12.31,18.4
1719434501219,11.6,13.4
1719434515403,11.02,14.0
1719434529679,13.32,15.2
1719434544396,8.93,13.4
1719434563963,9.00,11.0
1719434580258,11.99,17.0
1719434597063,16.13,19.4
1719434613177,16.38,18.6
1719434618273,10.26,8.8
1719434625880,14.15,19.2
1719434642805,16.20,19.4
1719434658306,16.85,21.2
1719434674848,16.49,20.2
1719434686462,15.16,18.0
1719434701815,14.90,17.8
1719434714052,14.65,16.6
1719434729494,17.24,20.6
1719434745516,19.69,20.6
1719434761028,15.62,18.8
1719434773334,13.46,18.8
1719434789262,11.38,14.2
1719434801730,13.75,18.0
1719434818213,13.82,16.0
1719434831330,11.48,15.2
1719434842938,7.09,11.6
1719434974508,9.29,19.0
1719434988832,14.87,19.0
1719435000533,15.05,20.0
1719435016179,17.68,21.2
1719435033707,24.80,29.2
1719435049146,16.24,19.6
1719435067370,22.46,27.0
1719435086569,8.46,13.0
1719435105537,25.31,29.8
1719435120302,14.83,21.4
1719435138406,25.85,29.2
1719435154815,13.10,17.4
1719435177212,23.54,27.6
1719435195085,14.44,16.5
1719435211682,11.20,16.2
1719435220758,8.14,16.0
1719435237449,12.89,17.4
1719435253767,11.81,17.6
1719435270527,15.98,18.4
1719435288261,15.88,20.4
1719435300008,15.95,18.4
1719435316491,9.25,14.4
1719435326102,9.18,12.4
1719435337593,7.24,11.4
1719435348526,10.91,13.8
1719435364657,14.87,20.8
1719435375033,13.46,19.6
1719435390655,19.15,25.0
1719435407127,25.27,28.4
1719435420637,19.22,23.4
1719435439900,28.51,30.6
1719435454668,13.39,19.0
1719435469208,23.76,25.8
1719435483356,17.32,20.4
1719435505347,23.90,30.0
1719435521750,11.38,14.6
1719435545390,26.39,29.6
1719435562397,12.20,16.0
1719435582932,21.96,24.4
1719435598919,16.38,21.0
1719435614789,17.71,20.8
1719435630405,11.30,16.4
1719435638062,9.40,15.4
1719435646137,13.00,17.2
1719435653979,18.0,15.44
1719435662125,10.04,16.6
1719435670339,10.12,17.4
1719435681107,8.71,11.6
1719435694356,16.20,18.8
1719435710433,13.82,18.8
1719435725513,15.95,17.8
1719435743542,16.52,18.8
1719435764333,21.96,24.0
1719435780181,16.63,22.8
1719435794661,20.81,22.2
