timestamp_ms,gps_velocity_kmh,video_velocity_kmh
1719436291572,13.18,16.4
1719436303689,15.19,17.0
1719436319682,7.13,12.6
1719436333331,14.44,17.0
1719436350135,14.98,18.4
1719436361624,18.32,20.6
1719436376269,14.83,20.4
1719436392932,16.27,19.8
1719436404327,15.59,17.6
1719436416323,13.57,15.0
1719436424931,14.04,15.8
1719436432007,13.14,15.2
1719436440523,9.04,14.6
1719436448553,7.42,15.8
1719436456699,9.94,16.8
1719436464219,10.73,20.0
1719436473643,14.76,19.0
1719436482439,12.49,19.8
1719436490167,12.31,18.8
1719436497571,9.36,15.8
1719436506296,11.38,21.0
1719436516507,19.94,22.6
1719436525998,11.20,19.0
1719436535581,16.16,13.4
1719436542194,7.99,15.4
1719436549759,9.40,10.0
1719436558413,8.57,16.6
1719436565722,11.41,16.8
1719436575630,12.31,14.4
1719436584031,12.35,20.2
1719436592685,13.39,22.6
1719436606097,18.83,25.8
1719436621691,14.33,23.0
1719436632412,18.14,24.8
1719436646519,16.45,25.4
1719436659491,25.20,27.2
1719436672856,19.84,24.0
1719436686199,23.08,24.0
1719436696502,12.20,17.8
1719436706711,17.71,18.2
1719436716063,9.00,15.8
1719436726018,19.73,21.4
1719436734558,14.90,14.6
1719436741265,11.92,17.0
1719436749272,7.92,18.8
1719436759946,15.66,21.0
1719436768114,11.12,17.6
1719436778512,21.60,22.6
1719436788189,11.12,15.8
1719436798691,19.98,21.2
1719436808021,10.69,17.8
1719436820134,16.42,19.0
1719436835937,13.54,17.4
1719436847657,15.80,18.0
1719436862716,15.98,21.6
1719436873345,20.9,20.8
1719436882930,9.54,18.2
1719436898967,21.17,22.0
1719436913844,17.03,21.6
1719436928116,19.87,23.4
1719436942969,16.49,20.8
1719436953296,11.52,19.2
1719436961743,10.33,17.2
1719436973276,9.00,15.4
1719436981816,10.58,22.2
1719436995206,22.93,25.4
1719437009384,15.62,14.8
